,Title,Authors,Year
343,Making Children Mind without Losing Yours,Kevin Leman,1983
344,Parent Effectiveness Training: The Proven Program for Raising Responsible Children,Thomas Gordon,1970
345,Children of the Stars,Mario Escobar,2017
346,Last Kiss Goodnight: A heart-breaking story of lost children and the power of a mother's love,Teresa Driscoll,-1
347,"Secrets of the Sands (Children of the Desert, #1)",Leona Wisoker,2010
348,Achtung Baby: An American Mom on the German Art of Raising Self-Reliant Children,Sara Zaske,2018
349,The Children Of Lovely Lane (Lovely Lane #2),Nadine Dorries,2016
350,Samantha's Revenge (Arcadia's Children #1),Andrew R.  Williams,-1
351,"Children of Redemption (Children of Vice, #3)",J.J. McAvoy,2018
352,"So Much of Life Ahead (Hearts of the Children, #5)",Dean Hughes,2005
353,"Rebels of Eden (Children of Eden, #3)",Joey Graceffa,2018
354,A Tale of The Children's Crusade: Free Country,Neil Gaiman,2015
355,"First Warning: Acorna's Children (Acorna, #8)",Anne McCaffrey,2005
356,All God's Children,Fox Butterfield,1995
357,"Children of Exile (Children of Exile, #1)",Margaret Peterson Haddix,2016
358,Miss Peregrine's Journal for Peculiar Children,Ransom Riggs,-1
359,Dark Dream’s Temptation (The Children of the Gods #26),I.T. Lucas,-1
360,"My Dark Amazon (The Children of the Gods, #6.5)",I.T. Lucas,2016
361,Troublemakers: Lessons in Freedom from Young Children at School,Carla Shalaby,-1
362,"The Grave Robbers Of Genghis Khan (Children Of The Lamp, #7)",P.B. Kerr,2011
363,"Teach Your Children Well: Why Values and Coping Skills Matter More Than Grades, Trophies, or ""Fat Envelopes""",Madeline Levine,2012
364,The Burgess Bird Book for Children,Thornton W. Burgess,1919
365,"Children of the Lens (Lensman, #6)","E.E. ""Doc"" Smith",1947
366,"Children of Fire (The Chaos Born, #1)",Drew Karpyshyn,2013
367,"Bus Station Mystery (The Boxcar Children, #18)",Gertrude Chandler Warner,1974
